,Category,Item_Description_PREPROCESSED
1983,Property Services,Arabian American Development Final Site Clean General Requirements Store Construction General Contractor
1984,Advertising,Outdoor Out Home SMAP Chem Nut Inc National Advertising Media Buy Traditional
1985,Property Services,General Requirements General Contractor Bcs Holdings Llc Store Construction Final Site Clean
1986,Property Services,Store Construction Final Site Clean General Contractor General Requirements China Changjiang Mining New Energy Company Ltd
1987,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Chyron Corp Travel and Entertainment Miscellaneous Company Car Field Only
1988,Property Services,General Contractor Store Construction General Requirements Final Site Clean Sep Fairmount Chemical Inc
1989,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Akzo Nobel Ground Transportation Miscellaneous Company Car Field Only
1990,Passenger Road Transportation,Chyron Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
1991,Advertising,Post Card Mailer SMAP Connecticut Yankee Atomic Power Printed Collateral Direct Mail
1992,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Fort Howard Corp
1993,Advertising,SMAP Magazines National Advertising Media Buy Traditional Eac Industries Inc
1994,Property Services,Base Rent Store Management Consolidated Papers Inc Real Estate Lease Rent
1995,Property Services,Lease Rent Real Estate Cabrera Capital Markets Inc Facility Management Base Rent
1996,Advertising,Magazines SMAP Dynetics Inc Media Buy Traditional National Advertising
1997,Property Services,Store Management Base Rent Real Estate Lease Rent Continental Real Estate Partners Ltd
1998,Labour,General Contractor General Requirements Final Site Clean Barr Laboratories Inc Store Construction
1999,Passenger Road Transportation,Chyron Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2000,Passenger Road Transportation,Corning Inc Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services
2001,Passenger Road Transportation,Miscellaneous Company Car Field Only Ground Transportation Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Miscellaneous Company Car Field Only
2002,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Cooper Laboratories Inc Stockholders Liquidating Trust
2003,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Allis Chalmers Corp Ground Transportation Miscellaneous Company Car Field Only
2004,Agency Fee,SMAP Search Agency Production Agency Fees Commissions Acme Electric Corp Employee Stock Purchase Plan
2005,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only
2006,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Akzo Nobel Ground Transportation Miscellaneous Company Car Field Only
2007,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Fortune National Corp Ground Transportation Miscellaneous Company Car Field Only Dec
2008,Advertising,Dawson John Associates Inc Talent Artists Models for Trade Show Trade Show Expenses SMAP Events and Promotions
2009,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Brother Industries Ltd Adr Ground Transportation Miscellaneous Company Car Field Only
2010,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Other Corporate Services Corporate Services
2011,Human Resources,Three Departments Inc Workmen Insurance Workmen Insurance Corporate Services Commercial Insurance
2012,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Camelot Corp Ground Transportation Miscellaneous Company Car Field Only
2013,Property Services,Store Management Lease Rent Systems Inc Real Estate Base Rent Jun
2014,Advertising,SMAP Prototype and Comp Production Packaging Design Production Artworking Typesetting Champion Parts Inc
2015,Passenger Road Transportation,Corporate Services Auto Passenger Road Transportation Repair and Maintenance Other Corporate Services Auto Leasing and Maintenance First American Corp
2016,Property Services,Colonial Trust Iii Final Site Clean General Requirements General Contractor Store Construction
2017,Property Services,Store Management Base Rent Real Estate Lease Rent Commonwealth Industries Corp
2018,Property Services,General Contractor Store Construction General Requirements Final Site Clean American Pad Paper
2019,Property Services,Store Construction General Requirements Edwards Hamly Participations General Contractor Final Site Clean
2020,Advertising,Printed Collateral SMAP Direct Mail Post Card Mailer Charter Communications Inc
2021,Logistics,Etz Lavud Ltd Parcel Postage Courier Transportation Services Logistics Supply Chain
2022,Property Services,Store Construction General Requirements Colonial Trust Iii General Contractor Final Site Clean
2023,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akorn Inc Travel and Entertainment
2024,Labour,Community Health Systems Inc Old Corporate Services Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor
2025,Labour,Contingent Labor Temp Labor Corporate Services Alpha Industries Inc Contingent Labor Temp Labor Human Resources
2026,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
2027,Labour,Human Resources Contingent Labor Temp Labor Contingent Labor Temp Labor Hancock John Current Interest Oct Corporate Services
2028,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
2029,Passenger Road Transportation,Camelot Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2030,Property Services,Alba Waldensian Inc Base Rent Lease Rent Store Management Real Estate
2031,Advertising,Brundage Story Rose Llc Miscellaneous Printed Materials Nov Miscellaneous Printed Materials Printed Collateral SMAP
2032,Passenger Road Transportation,Fortune National Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2033,Property Services,Real Estate Store Management Lease Rent Base Rent Ambase Corp
2034,Advertising,SMAP Media Buy Traditional Chem Nut Inc National Advertising Outdoor Out Home
2035,Property Services,American Pad Paper Final Site Clean General Requirements General Contractor Store Construction
2036,Labour,Exotico Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
2037,Property Services,Store Management Lease Rent Eastern Air Lines Inc Real Estate Base Rent
2038,Property Services,Final Site Clean Store Construction Consil Corp Nov General Requirements General Contractor
2039,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr Travel and Entertainment
2040,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
2041,Property Services,Real Estate Store Management Lease Rent Base Rent Jun Acmat Corp
2042,Property Services,Final Site Clean Store Construction Arabian American Development General Contractor General Requirements
2043,Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc Other Corporate Services Auto Leasing
2044,Advertising,SMAP Artworking Typesetting Froley Revy Investment Inc Production Prototype and Comp Production Packaging Design Jan
2045,Property Services,Mar Chicago Rivet Machine Base Rent Lease Rent Store Management Real Estate
2046,Property Services,Smith Brown Groover Inc Base Rent Lease Rent Real Estate Store Management
2047,Advertising,National Advertising SMAP Media Buy Traditional Magazines Jan Digital Equipment Corp
2048,Passenger Road Transportation,Alco Standard Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2049,Advertising,Champion Parts Inc Prototype and Comp Production Packaging Design Artworking Typesetting SMAP Production
2050,Labour,Jul Aydin Corp Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
2051,Property Services,Building and Property Insurance Commercial Insurance Amacan Resources Corp Corporate Services Building and Property Insurance
2052,Passenger Road Transportation,Miscellaneous Company Car Field Only Travel and Entertainment Fortune Natural Resources Corp Nov Miscellaneous Company Car Field Only Ground Transportation
2053,Passenger Road Transportation,Metric Capital Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
2054,Property Services,Carrols Corp Final Site Clean General Requirements General Contractor Store Construction
2055,Property Services,Feb Diagnostic Retrieval Systems Inc Base Rent Lease Rent Store Management Real Estate
2056,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Akzo Nobel
2057,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Metric Capital Corp Travel and Entertainment
2058,Property Services,Facility Management Base Rent Real Estate Lease Rent Alabama Telephone Inc
