,Category,Item_Description,Item_Description_PREPROCESSED
719,Property Services,Final Site Clean Up Store Construction Ealing Corp 2016May General Requirements General Contractor,final site clean store construction ealing corp general requirements general contractor
720,Logistics,Supply Chain Freight Forwarders Services Other Logistics Transportation Services 2005Jul Alabama Power Co,supply chain freight forwarders services other logistics transportation services alabama power
721,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Feb-2007 Corporate Services,other corporate services auto leasing and maintenance auto leasing corning inc corporate services
722,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Mar 2010 Corning Inc /Ny,other corporate services corporate services auto leasing and maintenance auto leasing mar corning inc
723,Property Services,Store Management Lease/Rent Ddl Electronics Inc Real Estate Base Rent Feb-2003,store management lease rent ddl electronics inc real estate base rent
724,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Akorn Inc Apr-2009 Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment akorn inc miscellaneous company car field only ground transportation
725,Passenger Road Transportation,2003-Nov  Butler Manufacturing Co Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,butler manufacturing auto leasing auto leasing and maintenance corporate services other corporate services
726,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Sep2012 Travel and Entertainment Fort Howard Corp Ground Transportation Miscellaneous Company Car (Field Only),miscellaneous company car field only travel and entertainment fort howard corp ground transportation miscellaneous company car field only
727,Agency Fee,Other Agency SMAP Ekco Group Inc /De/ 2013-Jun  Agency Fees & Commissions 3 Production,other agency smap ekco group inc agency fees commissions production
728,Labour,Contingent Labor/Temp Labor Corporate Services Chenaur Corp 2014-Jun  Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services chenaur corp contingent labor temp labor human resources
729,Labour,Apr2005 Alco Standard Corp Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,alco standard corp contingent labor temp labor contingent labor temp labor corporate services human resources
730,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Jul 2012 Fort Howard Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only jul fort howard corp
731,Passenger Road Transportation,Auto Leasing 2019Jan Corporate Services Butler Manufacturing Co Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services butler manufacturing other corporate services auto leasing and maintenance
732,IT - Managed Services,IT Managed Services Jan2016 Information Technology Anderson Industries Inc Managed Services IT Managed Services,managed services information technology anderson industries inc managed services managed services
733,Property Services,Real Estate Store Management Lease/Rent Base Rent Mar-2001 Ero Industries Inc,real estate store management lease rent base rent ero industries inc
734,Advertising,Digital Paid Media SMAP Media Buy - Social Paid Social - Content Production with Influencer Feb2004 Advantage Capital Corp                                  /Bd,digital paid media smap media buy social paid social content production with influencer advantage capital corp
735,Property Services,Real Estate Store Management Lease/Rent Base Rent Oct 2018 Amerada Hess Corp,real estate store management lease rent base rent oct amerada hess corp
736,Passenger Road Transportation,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) May 2004 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,brother industries ltd adr miscellaneous company car field only may miscellaneous company car field only ground transportation travel and entertainment
737,Passenger Road Transportation,Jun-2006 Metric Capital Corp                                     /Bd Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,metric capital corp miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
738,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Nov2015 Akzo Nobel Nv,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only akzo nobel
739,Agency Fee,Events and Promotions Agency Fees & Commissions Public Relations Agency Clarke Corp Feb 2018 SMAP,events and promotions agency fees commissions public relations agency clarke corp feb smap
740,Passenger Road Transportation,Butler Manufacturing Co Auto Leasing 2016Apr Auto Leasing and Maintenance Other Corporate Services Corporate Services,butler manufacturing auto leasing auto leasing and maintenance other corporate services corporate services
741,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust 2018-Jun  Travel and Entertainment,ground transportation miscellaneous company car field only miscellaneous company car field only cooper laboratories inc stockholders liquidating trust travel and entertainment
742,Labour,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Oct-2008 Baker Fentress & Co Et Al,corporate services contingent labor temp labor human resources contingent labor temp labor baker fentress
743,Advertising,SMAP Paid Social - Content Production with Influencer Digital Paid Media Media Buy - Social 2014-Nov  Costa Inc,smap paid social content production with influencer digital paid media media buy social costa inc
744,Property Services,Real Estate Lease/Rent Base Rent Commonwealth Edison Co 2015-Jan  Store Management,real estate lease rent base rent commonwealth edison store management
745,Labour,Corporate Services Contingent Labor/Temp Labor Central & South West Services Inc Human Resources Contingent Labor/Temp Labor 2009Sep,corporate services contingent labor temp labor central south west services inc human resources contingent labor temp labor
746,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust 2013-Jan  Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment cooper laboratories inc stockholders liquidating trust miscellaneous company car field only ground transportation
