Category,Item_Description,Item_Description_PREPROCESSED
Property Services,Final Site Clean Up 2006Apr Store Construction Alexanders Inc General Contractor General Requirements,final site clean store construction alexanders inc general contractor general requirements
Advertising,SMAP Digital Display Production Digital/Social Dec 2009 Barry R G Corp /De/,smap digital display production digital social dec barry corp
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Fortune National Corp Feb-2001 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment fortune national corp company car field only ground transportation
Logistics,Supply Chain Parcel/Postage/Courier Logistics Transportation Services 2019-Apr  Fiduciary Services Corp                                 /Adv,supply chain parcel postage courier logistics transportation services fiduciary services corp adv
Passenger Road Transportation,Allis Chalmers Corp Company Car (Field Only) 2006Jul Company Car (Field Only) Ground Transportation Travel and Entertainment,allis chalmers corp company car field only company car field only ground transportation travel and entertainment
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Angeloff Co                                             /Bd Other Corporate Services Auto Passenger Road Transportation Repair and Maintenance 2011-Jul ,corporate services auto leasing and maintenance angeloff other corporate services auto passenger road transportation repair and maintenance
Property Services,Allen Ethan Inc Jun-2000 Store Management Real Estate Lease/Rent Base Rent,allen ethan inc store management real estate lease rent base rent
Property Services,"Facility Construction Final Site Clean Up General Contractor General Requirements May 2018 D. L. Baker & Co., Incorporated",facility construction final site clean general contractor general requirements may baker incorporated
Labour,Contingent Labor/Temp Labor Human Resources Mar 2019 Foodarama Supermarkets Inc Corporate Services Contingent Labor/Temp Labor,contingent labor temp labor human resources mar foodarama supermarkets inc corporate services contingent labor temp labor
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2012-Aug  Composite Equity Series Inc Travel and Entertainment Company Car (Field Only),company car field only ground transportation composite equity series inc travel and entertainment company car field only
Passenger Road Transportation,Corporate Services Auto Leasing and Maintenance Corning Inc /Ny Other Corporate Services Auto Leasing Jul-2015,corporate services auto leasing and maintenance corning inc other corporate services auto leasing
Advertising,2008-Nov  Cfi Industries Inc Prototype and Comp Production/Packaging Design Artworking/Typesetting SMAP Production,cfi industries inc prototype and comp production packaging design artworking typesetting smap production
Property Services,Real Estate Lease/Rent Base Rent Data Card Corp Oct-2007 Store Management,real estate lease rent base rent data card corp store management
Passenger Road Transportation,Corning Inc /Ny 2005-Oct  Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,corning inc corporate services other corporate services auto leasing and maintenance auto leasing
Advertising,Printed Collateral SMAP Direct Mail Post Card/Mailer Jan 2019 Federal Paper Board Co Inc,printed collateral smap direct mail post card mailer jan federal paper board inc
Property Services,Store Management Base Rent Real Estate Lease/Rent Oct-2004 Allied Capital Corp/Old,store management base rent real estate lease rent allied capital corp old
Property Services,Final Site Clean Up Facility Construction Flightsafety International Inc Dec2018 General Requirements General Contractor,final site clean facility construction flightsafety international inc general requirements general contractor
Property Services,General Contractor Store Construction General Requirements Final Site Clean Up Mar2002 Colonial Trust Iii,general contractor store construction general requirements final site clean colonial trust iii
Passenger Road Transportation,Company Car (Field Only) Jun 2000 Travel and Entertainment Camelot Corp Ground Transportation Company Car (Field Only),company car field only jun travel and entertainment camelot corp ground transportation company car field only
Passenger Road Transportation,Ground Transportation Travel and Entertainment Company Car (Field Only) Company Car (Field Only) Jun-2003 Akorn Inc,ground transportation travel and entertainment company car field only company car field only akorn inc
Advertising,National Advertising Media Buy - Traditional Magazines Blackburn & Co Inc                                      /Bd Jun-2017 SMAP,national advertising media buy traditional magazines blackburn inc smap
Property Services,Final Site Clean Up Store Construction Erly Industries Inc May-2015 General Requirements General Contractor,final site clean store construction erly industries inc general requirements general contractor
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Metric Capital Corp                                     /Bd May-2014 Company Car (Field Only) Ground Transportation,company car field only travel and entertainment metric capital corp company car field only ground transportation
Advertising,Electro Catheter Corp Prototype and Comp Production/Packaging Design Sep-2005 Artworking/Typesetting Production SMAP,electro catheter corp prototype and comp production packaging design artworking typesetting production smap
