Category,Item_Description,UNSPSC_Segment_Code
Management and Business Professionals and Administrative Services,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor Apr2014 Detrex Corporation,80000000
Management and Business Professionals and Administrative Services,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Forward Industries Inc 2001Mar Corporate Services,80000000
Transportation and Storage and Mail Services,Fortune Natural Resources Corp Miscellaneous Company Car (Field Only) 2008-Oct  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny 2000-Oct  Corporate Services,78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up 2003-Sep  Ferguson Enterprises Inc,72000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only) 2013-Jul ,78000000
Transportation and Storage and Mail Services,Travel and Entertainment Miscellaneous Company Car (Field Only) Akorn Inc Ground Transportation Miscellaneous Company Car (Field Only) Aug2013,78000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2002Jan Cooper Laboratories Inc Stockholders Liquidating Trust,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation 2014-Feb  Cooper Laboratories Inc Stockholders Liquidating Trust Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Auto Leasing Mar 2000 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,78000000
Editorial and Design and Graphic and Fine Art Services,Prototype and Comp Production/Packaging Design SMAP Electro Catheter Corp Dec2013 Artworking/Typesetting Production,82000000
Editorial and Design and Graphic and Fine Art Services,2013-Aug  Chock Full O Nuts Corp Other Agency Agency Fees & Commissions 3 SMAP Production,82000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent American Consumers Inc Real Estate Base Rent Oct2006,80000000
Management and Business Professionals and Administrative Services,Bancwest Corp/Hi Base Rent 2019-Jan  Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Ddl Electronics Inc Real Estate Base Rent Jun2014,80000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Jul-2000 Corporate Services,78000000
Management and Business Professionals and Administrative Services,2019-Dec  American Business Products Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,80000000
Management and Business Professionals and Administrative Services,Dec-2013 Cascade Corp Base Rent Lease/Rent Store Management Real Estate,80000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Aig Equity Sales Corp. Feb-2003 Lease/Rent Real Estate,80000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Devcon International Corp Jun2019 Travel and Entertainment,78000000
Building and Facility Construction and Maintenance Services,Ealing Corp 2008-Jan  Store Construction General Contractor General Requirements Final Site Clean Up,72000000
Management and Business Professionals and Administrative Services,Base Rent Apr-2005 Store Management Echelon Corp Real Estate Lease/Rent,80000000
Editorial and Design and Graphic and Fine Art Services,Other Agency Sep-2018 SMAP Digital Equipment Corp Production Agency Fees & Commissions 3,82000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Allied Tube & Conduit Corp Real Estate Base Rent 2007Aug,80000000
Management and Business Professionals and Administrative Services,Real Estate Lease/Rent Base Rent Cazenove Inc                                            /Bd Sep2013 Store Management,80000000
Management and Business Professionals and Administrative Services,Basf Akteingesellschaft /Adr/ Contingent Labor/Temp Labor Jun2001 Contingent Labor/Temp Labor Human Resources Corporate Services,80000000
Editorial and Design and Graphic and Fine Art Services,Miscellaneous Printed Materials SMAP Texas American Resources Inc Jan 2015 Miscellaneous Printed Materials Printed Collateral,82000000
Transportation and Storage and Mail Services,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Fort Howard Corp May-2006 Travel and Entertainment,78000000
Management and Business Professionals and Administrative Services,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses 2004Oct Consumers Water Co",80000000
Building and Facility Construction and Maintenance Services,General Requirements General Contractor Mar 2005 Colonial Trust Iii Store Construction Final Site Clean Up,72000000
Building and Facility Construction and Maintenance Services,Ealing Corp Final Site Clean Up Sep 2009 General Requirements General Contractor Store Construction,72000000
Building and Facility Construction and Maintenance Services,Ealing Corp Final Site Clean Up 2007Aug General Requirements General Contractor Store Construction,72000000
Transportation and Storage and Mail Services,Texas New Mexico Power Co Miscellaneous Company Car (Field Only) Dec-2010 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) Oct-2015 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Texas New Mexico Power Co Feb 2017 Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Transportation and Storage and Mail Services,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny Aug-2011 Corporate Services,78000000
Building and Facility Construction and Maintenance Services,General Contractor Store Construction General Requirements Final Site Clean Up Jul 2013 Arabian American Development Co,72000000
Editorial and Design and Graphic and Fine Art Services,National Advertising Media Buy - Traditional Outdoor/Out of Home First Real Estate Investment Trust Of New Jersey Oct 2013 SMAP,82000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing and Maintenance Butler Manufacturing Co Other Corporate Services Auto Leasing Nov 2019,78000000
Management and Business Professionals and Administrative Services,Contingent Labor/Temp Labor Feb2018 Corporate Services Aerosonic Corp /Fl/ Human Resources Contingent Labor/Temp Labor,80000000
Editorial and Design and Graphic and Fine Art Services,Prototype and Comp Production/Packaging Design SMAP Froley Revy Investment Co Inc 2000-Nov  Artworking/Typesetting Production,82000000
Editorial and Design and Graphic and Fine Art Services,Other Agency SMAP Fnb Corp/Fl/ 2015Mar Agency Fees & Commissions 3 Production,82000000
Management and Business Professionals and Administrative Services,"Events and Promotions Trade Show Expenses Talent, Artists & Models for Trade Show L Flomenhaft & Co Inc                                   /Bd 2000Jul SMAP",80000000
Transportation and Storage and Mail Services,2005Feb Akzo Nobel Nv Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,78000000
Building and Facility Construction and Maintenance Services,General Contractor General Requirements Final Site Clean Up Church Loans & Investments Trust Oct2018 Facility Construction,72000000
Transportation and Storage and Mail Services,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Apr-2009 Daly John J,78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Ground Transportation Apr2000 Butler Manufacturing Co Travel and Entertainment Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) Travel and Entertainment Cooper Laboratories Inc Stockholders Liquidating Trust 2005-May  Miscellaneous Company Car (Field Only) Ground Transportation,78000000
Management and Business Professionals and Administrative Services,Store Management Lease/Rent Flowers Industries Inc Real Estate Base Rent Jun-2013,80000000
Transportation and Storage and Mail Services,Miscellaneous Company Car (Field Only) 2018-Sep  Travel and Entertainment Alco Standard Corp Ground Transportation Miscellaneous Company Car (Field Only),78000000
Transportation and Storage and Mail Services,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Jun2003 Butler Manufacturing Co,78000000
Management and Business Professionals and Administrative Services,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Comstock Resources Inc Jun-2003 Corporate Services,80000000
Management and Business Professionals and Administrative Services,Citicorp Dec 2010 Store Management Real Estate Lease/Rent Base Rent,80000000
Management and Business Professionals and Administrative Services,Ambassador Food Services Corp Base Rent May2004 Lease/Rent Real Estate Store Management,80000000
Management and Business Professionals and Administrative Services,Base Rent Store Management Anaren  Inc 2013-Sep  Lease/Rent Real Estate,80000000
Management and Business Professionals and Administrative Services,Public Relations Agency Apr2001 SMAP Auto Graphics Inc Events and Promotions Agency Fees & Commissions,80000000
